#       time [s]	 Decay Rate [Bq]	        +/- [Bq]
               5	          316.88	            17.8
              45	          275.67	            17.5
              85	          306.59	            17.1
             125	          273.32	            16.7
             165	          236.95	            16.4
             205	          225.40	            16.0
             245	          226.23	            15.7
             285	          204.33	            15.3
             325	          222.99	            15.0
             365	          221.43	            14.7
             405	          212.35	            14.3
             445	          198.16	            14.0
             485	          187.16	            13.7
             525	          176.97	            13.4
             565	          167.67	            13.1
             605	          167.20	            12.9
             645	          155.28	            12.6
             685	          144.51	            12.3
             725	          141.01	            12.1
             765	          134.61	            11.8
             805	          106.63	            11.5
             845	          128.91	            11.3
             885	          135.62	            11.0
             925	           97.71	            10.8
             965	          123.00	            10.6
            1005	          111.35	            10.3
            1045	          101.51	            10.1
            1085	          107.31	             9.9
            1125	           98.06	             9.7
            1165	           83.07	             9.5
